taster_twitter_handle,points,counts,,
@AnneInVino,90.5625508819539,3685,,
@JoeCz,88.5362346998251,5147,,
@bkfiona,86.8888888888889,27,,
@gordone_cellars,88.6262868087144,4177,,
@kerinokeefe,88.8679472902747,10776,,
@laurbuzz,87.7395095367847,1835,,
@mattkettmann,90.0086860391661,6332,,
@paulgwine ,89.0825639949643,9532,,
@suskostrzewa,86.6092165898617,1085,,
@vboone,89.2133794694348,9537,,
@vossroger,88.7080034490868,25514,,
@wawinereport,88.7557390253725,4966,,
@wineschach,86.9074930619797,15134,,
@winewchristina,87.8333333333333,6,,
@worldwineguys,88.7194029850746,1005,,
