variety,price_performace,,,
Abouriou,4.33333333333333,,,
Agiorgitiko,4.59802270329728,,,
Aglianico,3.06501774365007,,,
Aidani,3.03703703703704,,,
Airen,9.15462962962963,,,
Albana,4.59546465999375,,,
Albanello,4.3,,,
Albariño,4.454516974696,,,
Albarossa,2.2,,,
Aleatico,2.33603896103896,,,
Alfrocheiro,4.0794247536036,,,
Alicante,4.42759259259259,,,
Alicante Bouschet,4.52783452425174,,,
Aligoté,4.735900059502,,,
Alsace white blend,4.32750009955851,,,
Altesse,4.98698830409357,,,
Alvarelhão,4.19444444444444,,,
Alvarinho,5.17475680274707,,,
Alvarinho-Chardonnay,8.01060606060606,,,
Ansonica,3.41060606060606,,,
Antão Vaz,4.91751592633946,,,
Apple,3.12848484848485,,,
Aragonez,4.86635802469136,,,
Aragonês,4.19634801288937,,,
Argaman,2.20114522417154,,,
Arinto,6.4438833391533,,,
Arneis,4.41653049359696,,,
Asprinio,5.6,,,
Assyrtico,4.13754889297142,,,
Assyrtiko,4.2341258902917,,,
Athiri,4.61111111111111,,,
Austrian Red Blend,3.37135464040885,,,
Austrian white blend,3.52903439493024,,,
Auxerrois,4.12700933572116,,,
Avesso,5.96153846153846,,,
Azal,6.32136752136752,,,
Babić,3.1999358974359,,,
Babosa Negro,2.04444444444444,,,
Bacchus,,,,
Baco Noir,3.48712724775225,,,
Baga,3.42201468932778,,,
Baga-Touriga Nacional,3.03333333333333,,,
Barbera,3.90518541470491,,,
Barbera-Nebbiolo,2.9,,,
Bastardo,6.06597222222222,,,
Biancale,4.72222222222222,,,
Biancolella,3.26923076923077,,,
Biancu Gentile,,,,
Bical,7.15085978835979,,,
Black Monukka,3.64,,,
Black Muscat,5.21783680965499,,,
Blanc du Bois,3.49249618611747,,,
Blatina,7.33333333333333,,,
Blauburger,5.11764705882353,,,
Blauburgunder,4.89473684210526,,,
Blauer Portugieser,5.58541666666667,,,
Blaufränkisch,3.74825891107214,,,
Bobal,5.52211741638018,,,
Bobal-Cabernet Sauvignon,9.33333333333333,,,
Bombino Bianco,2.93333333333333,,,
Bombino Nero,7.90909090909091,,,
Bonarda,5.76940061203983,,,
Bordeaux-style Red Blend,3.33014844144183,,,
Bordeaux-style White Blend,4.94360381051094,,,
Bovale,2.99166666666667,,,
Boğazkere,3.67631009341536,,,
Brachetto,4.9806394807853,,,
Braucol,3.91614942528736,,,
Bual,1.60182662516673,,,
Cabernet,5.88182314761262,,,
Cabernet Blend,2.84773848960425,,,
Cabernet Franc,3.19285235753442,,,
Cabernet Franc-Cabernet Sauvignon,3.99518153453811,,,
Cabernet Franc-Carmenère,7.16666666666667,,,
Cabernet Franc-Lemberger,4.35,,,
Cabernet Franc-Malbec,1.98563596491228,,,
Cabernet Franc-Merlot,2.27979901446751,,,
Cabernet Merlot,5.3637274251806,,,
Cabernet Moravia,4.80555555555556,,,
Cabernet Pfeffer,2.98,,,
Cabernet Sauvignon,3.19910537595525,,,
Cabernet Sauvignon Grenache,5.06987577639751,,,
Cabernet Sauvignon-Barbera,1.86666666666667,,,
Cabernet Sauvignon-Cabernet Franc,2.41960261849662,,,
Cabernet Sauvignon-Carmenère,4.57960028030871,,,
Cabernet Sauvignon-Malbec,4.60097540489207,,,
Cabernet Sauvignon-Merlot,4.72721205527235,,,
Cabernet Sauvignon-Merlot-Shiraz,5.93333333333333,,,
Cabernet Sauvignon-Sangiovese,2.28509070294785,,,
Cabernet Sauvignon-Shiraz,4.57933624578009,,,
Cabernet Sauvignon-Syrah,3.69614445522507,,,
Cabernet Sauvignon-Tempranillo,6.25389601454617,,,
Cabernet-Malbec,7.81818181818182,,,
Cabernet-Shiraz,2.84941176470588,,,
Cabernet-Syrah,3.6116477567458,,,
Canaiolo,2.85958605664488,,,
Cannonau,4.14791271872427,,,
Caprettone,4.84210526315789,,,
Carcajolu,4.19047619047619,,,
Carignan,3.53304146348512,,,
Carignan-Grenache,3.4790429244905,,,
Carignan-Syrah,2.51176470588235,,,
Carignane,3.41824914775329,,,
Carignano,3.40544618474349,,,
Carineña,5.99902930402931,,,
Cariñena-Garnacha,2.88709677419355,,,
Carmenère,5.64739241694574,,,
Carmenère-Cabernet Sauvignon,4.83341991341991,,,
Carmenère-Syrah,4.97641862641863,,,
Carricante,2.75366591405981,,,
Casavecchia,2.03009136457412,,,
Castelão,6.78883496099489,,,
Catalanesca,4.68421052631579,,,
Catarratto,5.13379907290341,,,
Cayuga,5.47975708502024,,,
Centesimino,2.55555555555555,,,
Cerceal,2.15382716049383,,,
Cercial,1.76,,,
Cesanese,4.5,,,
Cesanese d'Affile,4.3531746031746,,,
Chambourcin,5.29619127785794,,,
Champagne Blend,1.9119205617133,,,
Chancellor,5.35833333333333,,,
Charbono,2.64601812371891,,,
Chardonel,7.54545454545455,,,
Chardonnay,3.84218461434264,,,
Chardonnay Weissburgunder,2.61034482758621,,,
Chardonnay-Albariño,2.97794117647059,,,
Chardonnay-Pinot Blanc,2.87739765319426,,,
Chardonnay-Pinot Gris,5,,,
Chardonnay-Riesling,3.625,,,
Chardonnay-Sauvignon,6.4655303030303,,,
Chardonnay-Sauvignon Blanc,6.70833333333333,,,
Chardonnay-Semillon,4.83265374975901,,,
Chardonnay-Viognier,5.7829961667642,,,
Chasselas,4.15706473977151,,,
Chelois,3.815,,,
Chenin Blanc,4.9832075055146,,,
Chenin Blanc-Chardonnay,5.97693664602161,,,
Chenin Blanc-Sauvignon Blanc,8.25949975949976,,,
Chenin Blanc-Viognier,6.00448717948718,,,
Chinuri,3.57777777777778,,,
Ciliegiolo,2.86755952380952,,,
Cinsault,3.65664215674342,,,
Clairette,5.15,,,
Claret,2.83505632330632,,,
Cococciola,4.3,,,
Coda di Volpe,4.68801133564292,,,
Colombard,6.4617839889579,,,
Colombard-Sauvignon Blanc,7.89140637140637,,,
Colombard-Ugni Blanc,8.40280691530691,,,
Colorino,2.15,,,
Cortese,4.59581605466698,,,
Corvina,3.79650885772966,,,
"Corvina, Rondinella, Molinara",2.97453817443227,,,
Counoise,2.9081097082462,,,
Códega do Larinho,4.875,,,
Dafni,4.25,,,
Debit,1.3040293040293,,,
Diamond,8.6,,,
Dolcetto,4.36747160420393,,,
Dornfelder,6.30910265609241,,,
Doña Blanca,1.58490566037736,,,
Duras,4.61097883597884,,,
Durella,3.23192239858906,,,
Durif,2.65714285714286,,,
Edelzwicker,4.72215695488722,,,
Ekigaïna,,,,
Elbling,5.484375,,,
Emir,5.48508771929825,,,
Encruzado,4.41792125930636,,,
Erbaluce,3.50952380952381,,,
Espadeiro,,,,
Falanghina,4.60574173640466,,,
Favorita,2.25,,,
Fer Servadou,5.31666666666667,,,
Fernão Pires,5.90978250029002,,,
Feteasca,5.36188811188811,,,
Feteasca Neagra,6.47561327561328,,,
Feteascǎ Regalǎ,8.82227032227032,,,
Fiano,3.66797724919576,,,
Folle Blanche,5.3125,,,
Forcallà,3.07407407407407,,,
Francisa,0.56875,,,
Franconia,5.375,,,
Frankovka,3.66666666666667,,,
Frappato,4.25016327104189,,,
Freisa,4.12727272727273,,,
Friulano,4.1986104010764,,,
Früburgunder,2.25,,,
Fumé Blanc,4.73555906796907,,,
Furmint,3.69695224003349,,,
G-S-M,3.07185673073454,,,
Gaglioppo,4.83509382430435,,,
Gamay,4.80933055140235,,,
Gamay Noir,3.9075932599027,,,
Gamza,8.09090909090909,,,
Garganega,5.00625783200623,,,
Garnacha,6.19557499816845,,,
Garnacha Blanca,5.56313399227486,,,
Garnacha Blend,5.88928571428571,,,
Garnacha Tintorera,6.35921717171717,,,
Garnacha-Cabernet,6.53846153846154,,,
Garnacha-Cariñena,1.63157894736842,,,
Garnacha-Monastrell,7.90972222222222,,,
Garnacha-Syrah,6.98619310051437,,,
Garnacha-Tempranillo,8.25862299465241,,,
Gelber Muskateller,3.98732291415133,,,
Gelber Traminer,2.71428571428571,,,
Gewürztraminer,4.23902229620923,,,
Gewürztraminer-Riesling,4.93360544217687,,,
Glera,4.78863573263571,,,
Godello,4.32151858457105,,,
Gouveio,4.02732793522267,,,
Graciano,3.15908809193339,,,
Gragnano,5.00183823529412,,,
Grauburgunder,3.94309142064844,,,
Graševina,4.45,,,
Grecanico,4.87300117176057,,,
Grechetto,5.36640353110941,,,
Greco,3.70813394380351,,,
Greco Bianco,5.64880952380952,,,
Grenache,3.0201574452508,,,
Grenache Blanc,3.64073783390754,,,
Grenache Blend,5.45897621701969,,,
Grenache Gris,3.95454545454546,,,
Grenache Noir,4.77777777777778,,,
Grenache-Carignan,3.68097081566498,,,
Grenache-Mourvèdre,3.37443115364168,,,
Grenache-Shiraz,4.14404761904762,,,
Grenache-Syrah,4.02635692741653,,,
Grignolino,5,,,
Grillo,5.51924782105393,,,
Grolleau,3.84444444444444,,,
Groppello,3.78260869565217,,,
Gros Manseng,5.20969457360964,,,
Gros Plant,5.375,,,
Gros and Petit Manseng,4.56587110790008,,,
Grüner Veltliner,4.17023977003664,,,
Hondarrabi Zuri,4.21245242539627,,,
Hárslevelü,3.21410256410256,,,
Incrocio Manzoni,3.37055555555555,,,
Insolia,5.53712400805161,,,
Inzolia,6.30935697986351,,,
Irsai Oliver,6.69230769230769,,,
Jacquez,2.65471014492754,,,
Jacquère,5.25259314633557,,,
Jaen,2.99791666666667,,,
Jampal,3.52,,,
Johannisberg Riesling,10.5925595238095,,,
Kadarka,3.76428571428571,,,
Kalecik Karasi,4.02632358674464,,,
Kangoun,6.21428571428571,,,
Karalahna,5.8,,,
Karasakiz,5.93333333333333,,,
Kekfrankos,3.49646392195322,,,
Kerner,3.94874869007592,,,
Kinali Yapincak,5.6,,,
Kisi,4.45241800152555,,,
Kotsifali,7.07692307692308,,,
Kuntra,5.73333333333333,,,
Lagrein,3.13320361219468,,,
Lambrusco,5.96551396046089,,,
Lambrusco Grasparossa,5.03764424348115,,,
Lambrusco Salamino,4.65631469979296,,,
Lambrusco di Sorbara,4.66703589278849,,,
Lemberger,4.65535333181401,,,
Listán Negro,3.54074074074074,,,
Loin de l'Oeil,3.53471359558316,,,
Loureiro,7.45829671988639,,,
Loureiro-Arinto,8.6,,,
Macabeo,6.46051844625567,,,
Macabeo-Chardonnay,7.44047619047619,,,
Macabeo-Moscatel,10.625,,,
Madeira Blend,1.96598639455782,,,
Madeleine Angevine,4.89052287581699,,,
Magliocco,3.08571428571429,,,
Malagousia,4.38819874469331,,,
Malagouzia,4.44747474747475,,,
Malagouzia-Chardonnay,10.75,,,
Malbec,4.32431206082461,,,
Malbec Blend,1.67894736842105,,,
Malbec-Bonarda,7.59806324110672,,,
Malbec-Cabernet,1.08559958559959,,,
Malbec-Cabernet Franc,3.31535401318824,,,
Malbec-Cabernet Sauvignon,3.94173398125928,,,
Malbec-Carménère,2.11627906976744,,,
Malbec-Merlot,5.01669638360352,,,
Malbec-Petit Verdot,2.44523809523809,,,
Malbec-Syrah,6.80315685425284,,,
Malbec-Tannat,3.30643465909091,,,
Malbec-Tempranillo,8.50892857142857,,,
Malvar,4.63214285714286,,,
Malvasia,4.35151162455741,,,
Malvasia Bianca,4.09712110805861,,,
Malvasia Fina,3.83611111111111,,,
Malvasia Istriana,4.4728442513369,,,
Malvasia Nera,3.67200854700855,,,
Malvasia di Candia,3.86956521739131,,,
Malvasia-Viura,6.02365591397849,,,
Mandilaria,3.54,,,
Mansois,5.17214912280702,,,
Mantonico,3.209,,,
Manzoni,4.39538735345023,,,
Marawi,2.50476190476191,,,
Maria Gomes,8,,,
Maria Gomes-Bical,3.44,,,
Marquette,4.71362229102167,,,
Marsanne,3.30056827356233,,,
Marsanne-Roussanne,3.34516045250495,,,
Marsanne-Viognier,3.37142857142857,,,
Marselan,3.89593253968254,,,
Marzemino,4.45457875457875,,,
Mataro,2.69616137566138,,,
Maturana,2.01772486772487,,,
Mauzac,4.98396727111897,,,
Mavrodaphne,6.18648018648019,,,
Mavrokalavryta,5.73333333333333,,,
Mavrotragano,1.8,,,
Mavroudi,7.25,,,
Mavrud,6.46530278778178,,,
Mazuelo,1.71493816061894,,,
Melnik,3.99480676328503,,,
Melon,5.73173783200658,,,
Mencía,4.21923730252849,,,
Meritage,3.12498032841983,,,
Merlot,4.37253218975325,,,
Merlot-Argaman,7.08333333333333,,,
Merlot-Cabernet,5.95623769454985,,,
Merlot-Cabernet Franc,2.48378791553199,,,
Merlot-Cabernet Sauvignon,5.02114745038918,,,
Merlot-Grenache,8.9,,,
Merlot-Malbec,4.51781045751634,,,
Merlot-Petite Verdot,4.15,,,
Merlot-Shiraz,4.77777777777778,,,
Merlot-Syrah,4.30555555555556,,,
Merlot-Tannat,5.59,,,
Merseguera-Sauvignon Blanc,9.44444444444444,,,
Meseguera,2.6,,,
Misket,4.47368421052632,,,
Mission,3.95735827664399,,,
Molinara,3.48,,,
Monastrell,5.90931058312526,,,
Monastrell-Petit Verdot,4.65353260869565,,,
Monastrell-Syrah,5.76631894833865,,,
Mondeuse,3.72829070052754,,,
Monica,5.51071428571429,,,
Montepulciano,4.79948942730836,,,
Morava,3.34615384615385,,,
Morillon,3.38453274238989,,,
Morio Muskat,5.14583333333333,,,
