Flavor,Popularity_f,,Category,Popularity_c,Popularity_price,Popularity_rating,,Country,Produce,,Variety_p,Price,Price_rating,,Variety_r,Rating,Rating_price,,Taster,Taster_count,Taster_point,,Variety_pr,Ratio
Pinot Noir,13272,,Reserve,2009,36.95,87.98,,US,54504,,90-year Old Tawny,1000,97,,Cristal Vintage Brut,100,250,,Other Tasters,26249,87.79,,UnWineD,21.5
Chardonnay,11753,,Estate,1322,34.55,88.34,,France,22093,,Hill of Grace,800,93.5,,Cerretalto,100,270,,Roger Voss,25514,88.71,,Flirty Bird,20.88
Cabernet Sauvignon,9472,,Reserva,1259,20.74,87.14,,Italy,19540,,Clos du Mesnil Brut Blanc de Blancs,800,99,,Barca-Velha,100,450,,Michael Schachner,15134,86.91,,Fizz,17.4
Red Blend,8946,,Riserva,698,60.76,89.66,,Spain,6645,,El Perer,770,96,,Vargellas Vinhas Velhas Vintage,99,268,,Kerin O’Keefe,10776,88.87,,Mini,17.2
Bordeaux-style Red Blend,6914,,Barrel sample,627,93.5,91.45,,Portugal,5691,,Kiedrich Gräfenberg Trockenbeerenauslese,730.67,96.33,,Sorì Tildìn,99,440,,Virginie Boone,9537,89.21,,Toutalga Tinto,17
Riesling,5189,,Estate Grown,625,34.06,88.23,,Chile,4472,,Le Montrachet,630,96,,Nacional Vintage,99,622.5,,Paul Gregutt,9532,89.08,,Twin Valley,16.8
Sauvignon Blanc,4967,,Brut,513,26.39,87.32,,Argentina,3800,,Nacional Vintage,622.5,99,,Elevation 1147 Estate,99,150,,Matt Kettmann,6332,90.01,,Twin Valley White,16.6
Syrah,4142,,Dry,413,17.27,87.46,,Austria,3345,,Unico Reserva Especial,600,92,,Cuvée Constance 500ml,99,159,,Joe Czerwinski,5147,88.54,,Gato Negro,14.86
Rosé,3564,,Estate Bottled,343,27.78,87.5,,Australia,2329,,Grange,596.25,97.25,,Clos du Mesnil Brut Blanc de Blancs,99,800,,Sean P. Sullivan,4966,88.76,,Vinha do Poeta,14.5
Merlot,3102,,Crianza,343,19.88,87.23,,Germany,2165,,Cà d'Morissio Riserva,595,99,,Cà d'Morissio Riserva,99,595,,Anna Lee C. Iijima,4415,88.42,,Rubicone,14.5
Nebbiolo,2803,,Vieilles Vignes,309,34.9,89.06,,New Zealand,1419,,Very Old Single Harvest,588,95,,Barca Velha,99,426,,Jim Gordon,4177,88.63,,Xairel Branco,14.33
Zinfandel,2714,,Brut Rosé,276,42.98,88.31,,South Africa,1401,,Cristal Brut Rosé,554.67,96,,The Relic,98,135,,Anne Krebiehl MW,3685,90.56,,Soft,14.33
Sangiovese,2707,,Gran Reserva,261,25.76,87.74,,Israel,505,,Les Quatre Journaux,551.67,94,,Sperss,98,255,,Lauren Buzzeo,1834,87.74,,Casaleiro Colheita Seleccionada,14.33
Malbec,2652,,Tradition,238,21.78,87.47,,Greece,466,,Chambertin Clos de Bèze Grand Cru,525,96,,Rare,98,325,,Susan Kostrzewa,1085,86.61,,Xairel Tinto,14.17
Portuguese Red,2466,,Old Vine,222,23.8,87.5,,Canada,257,,Colheita White,515.5,91.5,,Nello Riserva,98,120,,Mike DeSimone,514,89.1,,Tegole,14.17
White Blend,2360,,Extra Dry,204,16.1,86.25,,Hungary,146,,Musigny,510,96,,Le Méal Ermitage,98,150,,Jeff Jenssen,491,88.32,,Terras de Felgueiras,14.17
Sparkling Blend,2153,,Rosé of,172,21.01,88.37,,Bulgaria,141,,Hattenheimer Wisselbrunnen Beernauslese Gold Cap,510,90,,Insignia 40th Vintage Estate Grown,98,250,,Alexander Peartree,415,85.86,,Serradayres Colheita Seleccionada,14.17
